,PropertyType,BedroomsTotal,City,DaysOnMarket,Flooring,Heating,State,Levels,LotSizeSquareFeet,OriginalListPrice,RoomsTotal,Stories,UnparsedAddress,YearBuilt,PostalCode,PoolPrivateYN,CityRegion,Latitude,GarageSpaces,AttachedGarageYN,TaxAnnualAmount,years old,Electric,Forced Air,Wood,Heat Pump,Boiler
6877,Residential,1,Port Neva,317,['Hardwood'],Wood,New York,['One Level'],947,321919,13,2,"#965 24 Freda Bridge Estate, Port Neva, Ohio 76163-7312",1965,76163-7312,False,South Rebeccafort,33.96192,2,False,222839,58,0,0,1,0,0
7005,Residential,1,Haileyborough,357,"['Hardwood', 'Laminate']","Heat Pump,Electric,Forced Air",New York,"['One Level', 'Two Level', 'Split Level']",1775,777462,24,1,"#475 44 Breitenberg Parkway Lakes, Haileyborough, Illinois 57515-2094",1977,57515-2094,False,Baileyside,33.632021,1,True,481327,46,1,1,0,1,0
7018,Residential,3,Schmelerland,22,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Heat Pump,Forced Air",New York,['One Level'],1820,814324,11,1,"#962 378 Holly Vista Centers, Schmelerland, Wyoming 48298-5374",1994,48298-5374,False,Zboncakchester,33.705975,2,True,604405,29,0,1,0,1,0
7104,Residential,3,Idellahaven,264,"['Hardwood', 'Laminate', 'Vinyl']","Boiler,Heat Pump,Wood",New York,"['One Level', 'Two Level', 'Split Level']",524,121597,15,1,"#106 493 Leonardo Inlet Station, Idellahaven, Maryland 27209",2000,27209,False,South Noble,33.732949,2,True,466184,23,0,0,1,1,1
7218,Residential,2,Thielchester,114,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Wood,Electric,Heat Pump",New York,"['One Level', 'Two Level']",1983,884930,9,2,,2007,44190-6469,False,Lehnerbury,33.96562,4,False,168855,16,1,0,1,1,0
7232,Residential,2,West Stewart,230,"['Hardwood', 'Laminate']","Wood,Heat Pump,Electric",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",910,535871,14,2,"#869 24 Sigrid Ways Oval, West Stewart, North Dakota 49072-0305",1989,49072-0305,True,East Arnehaven,34.589961,1,True,274368,34,1,0,1,1,0
7275,Residential,1,Eldafurt,276,['Hardwood'],"Forced Air,Heat Pump,Wood",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",780,722659,14,1,,1969,85036-2092,False,Marquardtstad,33.552856,4,False,187950,54,0,1,1,1,0
7304,Residential,3,Pollichport,347,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Electric,Forced Air",New York,['One Level'],1936,716713,8,1,"#793 342 Macy Valleys Village, Pollichport, Hawaii 14815-5265",1973,14815-5265,False,Lynchport,34.072454,2,True,447062,50,1,1,0,0,0
7450,Residential,3,Laviniastad,210,['Hardwood'],"Wood,Heat Pump",New York,['One Level'],1673,443990,6,2,"#211 399 Bennett Roads Wells, Laviniastad, Colorado 78236-3924",1989,78236-3924,False,Colebury,34.032111,4,False,175917,34,0,0,1,1,0
7501,Residential,3,New Granville,155,"['Hardwood', 'Laminate', 'Vinyl']","Boiler,Heat Pump",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",520,264361,22,1,"#763 431 Vandervort Parkways Trace, New Granville, Kentucky 81233",1957,81233,False,Port Allan,34.317422,3,False,444379,66,0,0,0,1,1
7542,Residential,4,North Joaniestad,173,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Forced Air,Boiler",New York,['One Level'],1185,270545,18,2,,1944,96973-6754,True,Jaquelinton,33.751898,3,True,991653,79,0,1,0,0,1
7583,Residential,4,Lake Alexandriaton,71,"['Hardwood', 'Laminate', 'Vinyl']","Wood,Electric,Heat Pump",New York,['One Level'],1284,973318,13,1,"#599 369 Stamm Land Tunnel, Lake Alexandriaton, Delaware 10719-4097",1999,10719-4097,False,Leilabury,33.402317,2,False,110725,24,1,0,1,1,0
7600,Residential,3,Cummerataport,356,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Boiler,Electric,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",723,511448,2,2,,1999,35254-6264,False,Lake Macview,34.105874,4,True,238747,24,1,1,0,0,1
7630,Residential,2,Port Kelleystad,236,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Heat Pump,Boiler,Wood",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1669,68282,20,2,,1979,69740-1518,False,West Nicolas,33.995852,2,False,735364,44,0,0,1,1,1
7669,Residential,1,New Javonteshire,361,"['Hardwood', 'Laminate']","Electric,Forced Air,Heat Pump",New York,"['One Level', 'Two Level']",1513,366977,11,1,,1956,98565,True,East Shaynashire,34.289755,4,False,729764,67,1,1,0,1,0
7684,Residential,4,Christown,15,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Wood,Electric",New York,"['One Level', 'Two Level']",988,837439,11,1,,1966,65550-6409,True,Ellisville,33.710476,3,True,803982,57,1,0,1,0,0
7689,Residential,3,West Armando,55,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Wood,Boiler,Forced Air",New York,"['One Level', 'Two Level']",1312,869078,17,1,,1945,98231,False,North Thora,34.481723,4,False,871768,78,0,1,1,0,1
7824,Residential,1,Ryanberg,170,['Hardwood'],Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",531,712926,17,2,"#893 113 Dach Mews Route, Ryanberg, Montana 20176-2243",1978,20176-2243,False,Jadamouth,34.27534,4,False,722526,45,0,0,0,1,0
7914,Residential,3,Port Karinatown,180,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Wood,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",541,509841,16,1,,2004,56006-7983,True,Alexaneville,33.873973,1,False,112732,19,0,1,1,0,0
7975,Residential,1,North Addison,110,"['Hardwood', 'Laminate', 'Vinyl']",Wood,New York,"['One Level', 'Two Level', 'Split Level']",537,422304,18,1,,1999,75586,True,South Cynthialand,34.212353,1,False,565238,24,0,0,1,0,0
8067,Residential,1,Brennonbury,99,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1275,951899,1,1,,1991,11073,False,Kshlerinfort,33.836787,2,False,654600,32,0,0,0,1,0
8078,Residential,4,Francescobury,179,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Boiler,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",583,519266,13,2,,1968,67071-2862,True,Alizefurt,33.903654,1,True,420979,55,0,1,0,0,1
8176,Residential,2,West Don,47,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Boiler,Forced Air,Electric",New York,"['One Level', 'Two Level']",1671,428546,6,2,,2002,43661,True,Strackehaven,34.065343,4,False,383838,21,1,1,0,0,1
8241,Residential,4,Audraberg,92,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Electric,Wood",New York,['One Level'],600,607136,9,2,,1967,44372-6072,True,Lemkemouth,33.982954,3,True,817015,56,1,0,1,0,0
8286,Residential,2,North Omarifurt,265,"['Hardwood', 'Laminate', 'Vinyl']","Wood,Electric,Boiler",New York,"['One Level', 'Two Level', 'Split Level']",1607,377538,7,1,,1961,47899-3450,False,East Kira,34.585128,4,True,903261,62,1,0,1,0,1
8519,Residential,1,Jacintheburgh,332,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Heat Pump,Boiler,Forced Air",New York,"['One Level', 'Two Level', 'Split Level']",659,693034,20,2,,1946,52467-6810,False,South Eleazarfort,33.767525,4,False,941070,77,0,1,0,1,1
8623,Residential,3,Grantchester,76,"['Hardwood', 'Laminate']","Forced Air,Electric",New York,['One Level'],849,159131,20,1,,1986,36343,False,Ludieton,33.604383,4,True,703081,37,1,1,0,0,0
8680,Residential,2,North Nadia,12,"['Hardwood', 'Laminate']","Forced Air,Boiler",New York,"['One Level', 'Two Level', 'Split Level']",1247,984505,24,1,,1950,75899-7780,True,North Jamel,34.082364,1,True,429811,73,0,1,0,0,1
8737,Residential,3,Michaelview,146,"['Hardwood', 'Laminate', 'Vinyl']","Electric,Heat Pump,Wood",New York,"['One Level', 'Two Level']",664,422027,12,1,"#838 138 Gutmann Passage View, Michaelview, Michigan 45119",1958,45119,False,West Nasirberg,33.953465,4,True,453645,65,1,0,1,1,0
8745,Residential,3,New Gloriaton,116,['Hardwood'],"Electric,Heat Pump",New York,"['One Level', 'Two Level', 'Split Level']",1271,993882,12,2,"#522 111 Madie Knoll Parks, New Gloriaton, Indiana 56253",1973,56253,True,New Leanne,33.91513,3,False,458666,50,1,0,0,1,0
8787,Residential,3,Port Enidberg,223,['Hardwood'],"Boiler,Forced Air,Wood",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1252,545612,10,1,,2001,54940-9906,True,New Nathanialside,34.2123,3,False,257163,22,0,1,1,0,1
9054,Residential,2,New Nelle,103,"['Hardwood', 'Laminate', 'Vinyl']","Forced Air,Boiler",New York,"['One Level', 'Two Level', 'Split Level']",1211,764250,19,1,,1960,28862-3020,False,Turnerside,33.745357,1,True,320543,63,0,1,0,0,1
9099,Residential,4,Howeview,240,['Hardwood'],"Heat Pump,Boiler,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1953,142150,10,1,,1949,80415,False,Cassinbury,33.345709,4,True,360048,74,0,1,0,1,1
9225,Residential,3,North Torey,62,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Forced Air,Boiler",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1589,646436,13,1,,2011,74508,True,West Telly,33.721355,2,True,244796,12,0,1,0,0,1
9241,Residential,3,Viviennestad,339,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Wood,Forced Air,Boiler",New York,['One Level'],1326,415621,16,2,,1950,50645-1784,True,Berthafurt,33.688343,2,False,481469,73,0,1,1,0,1
9454,Residential,3,East Judgeland,265,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Electric,New York,"['One Level', 'Two Level']",547,842868,16,2,,2009,10416,False,Port Patsy,33.628689,3,False,491548,14,1,0,0,0,0
9533,Residential,2,Jacobston,167,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Electric,Wood",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level']",1285,529228,12,2,"#5 93 Robert River Roads, Jacobston, Minnesota 93943-6583",1943,93943-6583,True,Lake Zarialand,34.483074,4,True,985527,80,1,0,1,0,0
9575,Residential,3,East Vernon,212,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Heat Pump,Forced Air",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1792,56685,18,2,"#317 81 Valentin Islands Points, East Vernon, Arkansas 12622-6558",1991,12622-6558,True,New Marquis,33.971323,4,False,562238,32,0,1,0,1,0
9593,Residential,1,West Margieborough,319,['Hardwood'],"Forced Air,Heat Pump,Electric",New York,"['One Level', 'Two Level']",818,659306,23,1,"#81 425 Janie Drives Oval, West Margieborough, Delaware 96032",1968,96032,False,North Waltonport,34.179364,3,True,497276,55,1,1,0,1,0
9620,Residential,2,Torphytown,42,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Boiler,New York,"['One Level', 'Two Level', 'Split Level']",671,920625,10,2,"#993 211 Fay Square Isle, Torphytown, Massachusetts 20116-3177",1946,20116-3177,False,South Kristinbury,34.120533,4,True,166703,77,0,0,0,0,1
9637,Residential,1,North Kaydenville,15,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Wood,Boiler,Electric",New York,"['One Level', 'Two Level', 'Split Level']",721,704308,11,2,,1961,72858,False,New Reta,34.033214,4,False,568062,62,1,0,1,0,1
9648,Residential,4,North Demarcusburgh,217,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Boiler,Electric",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1819,415928,4,2,"#441 377 Vivian Hollow Isle, North Demarcusburgh, Massachusetts 95166-9890",1976,95166-9890,True,North Paxtonside,33.596916,3,True,869121,47,1,0,0,0,1
9665,Residential,4,East Carriestad,357,['Hardwood'],Forced Air,New York,"['One Level', 'Two Level']",1612,249023,3,2,,2012,64760-0818,True,West Axelmouth,33.892499,2,True,678840,11,0,1,0,0,0
9737,Residential,1,Port Rudyshire,269,"['Hardwood', 'Laminate']","Electric,Wood,Heat Pump",New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1629,808778,1,2,,1947,95151-8985,False,West Audra,33.434128,1,True,519977,76,1,0,1,1,0
9802,Residential,3,East Ernahaven,183,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']",Boiler,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",736,414325,14,2,"#843 236 Dan Pass Flat, East Ernahaven, West Virginia 52446-4045",1986,52446-4045,False,Berniermouth,34.150421,1,True,200242,37,0,0,0,0,1
9884,Residential,4,Osinskichester,175,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Forced Air,Wood,Boiler",New York,"['One Level', 'Two Level', 'Split Level']",1876,716864,3,1,,1946,39788,True,Dianafurt,33.622849,1,False,377925,77,0,1,1,0,1
9977,Residential,1,Bernadetteland,110,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']",Forced Air,New York,['One Level'],502,926866,6,1,,1950,76149,True,Port Leathachester,33.857514,1,False,745960,73,0,1,0,0,0
